,species,infraspecificEpithet,class,iucnRedListCategory,kingdom,sex,phylum,specificEpithet,vernacularName,genericName,family,datasetName,higherClassification,subgenus,organismName
34,Pluteus chrysophaeus,,Pluteus chrysophaeus,Pluteus chrysophaeus,Pluteus chrysophaeus,,Pluteus chrysophaeus,chrysophaeus,,Pluteus chrysophaeus,Pluteus chrysophaeus,SIM-Fungal occurrences compiled by the Iberian Mycological Society,Pluteus chrysophaeus,,
35,Dissingia leucomelaena,,Dissingia leucomelaena,Dissingia leucomelaena,Dissingia leucomelaena,,Dissingia leucomelaena,leucomelaena,Dissingia leucomelaena,Dissingia,Dissingia leucomelaena,iNaturalist research-grade observations,Dissingia leucomelaena,,
36,Peziza subumbrina,,Peziza subumbrina,Peziza subumbrina,Peziza subumbrina,,Peziza subumbrina,Peziza subumbrina,,Peziza,Peziza subumbrina,CSIC-Real Jardín Botánico-Colección de Hongos (MA-Fungi),Peziza subumbrina,,
37,Sepultariella patavina,,Sepultariella patavina,Sepultariella patavina,Sepultariella patavina,,Sepultariella patavina,Sepultariella patavina,,Sepultariella,Sepultariella patavina,iNaturalist research-grade observations,Sepultariella patavina,,
38,Ascobolus carbonarius,,Ascobolus carbonarius,Ascobolus carbonarius,Ascobolus carbonarius,,Ascobolus carbonarius,Ascobolus carbonarius,,Ascobolus carbonarius,Ascobolus carbonarius,Banco de Datos de la Biodiversidad de la Comunitat Valenciana,Ascobolus carbonarius,,
39,Entoloma rusticoides,,Entoloma rusticoides,Entoloma rusticoides,Entoloma rusticoides,,Entoloma rusticoides,Entoloma rusticoides,,Entoloma rusticoides,Entoloma rusticoides,iNaturalist research-grade observations,,,
40,Hygrophorus cossus,quercetorum,Hygrophorus cossus,Hygrophorus cossus,Hygrophorus cossus,,Hygrophorus cossus,cossus,,Hygrophorus cossus,Hygrophorus cossus,iNaturalist research-grade observations,Hygrophorus cossus,,
41,Inocybe whitei,,Inocybe whitei,Inocybe whitei,Inocybe whitei,,Inocybe whitei,whitei,,Inocybe whitei,Inocybe whitei,SIM-Fungal occurrences compiled by the Iberian Mycological Society,Inocybe whitei,,
42,Lyophyllum caerulescens,,Lyophyllum caerulescens,Lyophyllum caerulescens,Lyophyllum caerulescens,,Lyophyllum caerulescens,Lyophyllum caerulescens,,Lyophyllum caerulescens,Lyophyllum caerulescens,Lyophyllum caerulescens,,,
43,Ganoderma lucidum,,Ganoderma lucidum,Ganoderma lucidum,Ganoderma lucidum,,Ganoderma lucidum,Ganoderma lucidum,Lingzhi mushroom,Ganoderma lucidum,Ganoderma lucidum,iNaturalist research-grade observations,Fungi|Ganodermataceae,,
