Hodophilus hymenocystis
Inocybe grammata
Rufoplaca arenaria
Cortinarius jimenezianus
Calonarius glaucoelotus
Terfezia bertae
Nephroma areolatum
Xanthoria elegans
Diploschistes neutrophilus
Cladonia coniocraea
Otidea caeruleopruinosa
Punctelia guanchica
Cantharellus friesii
Hebeloma limbatum
Cortinarius fulvoisabellinus
Tulostoma pulchellum
Wickerhamiella sorbophila
Micarea pseudotsugae
Hydnellum cristatum
Trichoderma harzianum
Agaricus coniferarum
Bulbillomyces farinosus
Lecanicillium psalliotae
Inocybe hirtella
Melanohalea laciniatula
Llimoniella fuscoatrae
Cystofilobasidium intermedium
Xanthoparmelia vicentii
Ramalina erosa
Rostania occultata
Trichoderma paraviridescens
Penicillium glandicola
Melanelixia glabratula
Tricholomopsis flammula
Geastrum pectinatum
Sanguineodiscus haematites
Coprinopsis radiata
Octaviania asterosperma
Talaromyces affinitatimellis
Phaeoclavulina cokeri
Yarrowia deformans
Neoalpova arenicola
Phaeopezia vittadinii
Nakaseomyces glabratus
Trichoderma cremeoides
Chlorophyllum agaricoides
Cantharellus pallens
Hebeloma celatum
Aspergillus felis
Terfezia lusitanica
Agaricus subperonatus
Parmeliopsis ambigua
Mycena clavicularis
Tuber gennadii
Entoloma placidum
Entoloma phaeocyathum
Skyttea pyrenulae
Collemopsidium sublitorale
Hebeloma fusisporum
Russula pila
Variospora flavescens
Helvella neopallescens
Mallocybe fulvipes
Geastrum saccatum
Perilachnea hemisphaerioides
Cortinarius hispanicus
Hypoxylon aveirense
Punctelia subrudecta
Cladonia corsicana
Mycena pura
Penicillium glabrum
Lactarius vinosus
Aspergillus niger
Aspergillus spelunceus
Botrytis cinerea
Cortinarius armeniacus
Apiospora hysterina
Descolea maculata
Tricholoma focale
Hypotrachyna taylorensis
Niebla bourgaeana
Fusarium tricinctum
Pluteus plautus
Cladonia cornuta
Lobothallia uxoris
Modicella malleola
Mucor racemosus
Morchella inamoena
Calonarius molochinus
Debaryomyces hansenii
Agaricus porphyrocephalus
Trichoderma dorotheae
Cantharellus cibarius
Hebeloma cavipes
Tulostoma cyclophorum
Inocybe mixtilis
Cantharellus alborufescens
Hypogymnia tubulosa
Cortinarius turgidus
Ochrolechia incarnata
Helvella retinervis
Pulvinula niveoalba
Phlegmacium mediterraneense
Aspergillus brasiliensis
Niebla subwebbiana
Cetrelia cetrarioides
Agaricus cupreobrunneus
Parmelina cryptotiliacea
Coniochaeta velutina
Xanthoparmelia protomatrae
Russula mistiformis
Helvella fusca
Tarzetta catinus
Orbilia arachnovinosa
Cortinarius casimirii
Gymnopus aquosus
Flavoplaca coronata
Torulaspora pretoriensis
Geotrichum candidum
Pluteus cervinus
Inocybe subbrunnea
Xanthoparmelia subdiffluens
Pluteus ephebeus
Calonarius natalis
Tulostoma cretaceum
Agaricus pietatis
Xanthoparmelia pokornyi
Lactarius soehneri
Conocybe deliquescens
Cortinarius uxorum
Simocybe haustellaris
Ramalina rosacea
Lycoperdon umbrinum
Bryoria vrangiana
Phlegmacium subdecolorans
Leucodermia boryi
Apiospora piptatheri
Buellia tesserata
Hebeloma geminatum
Parmelia ernstiae
Aspergillus spelaeus
Mycetinis virgultorum
Melanohalea exasperatula
Xanthoparmelia luteonotata
Entoloma vindobonense
Melanelixia subaurifera
Skyttea lecanorae
Nephromopsis merrillii
Pseudephebe pubescens
Nephroma foliolatum
Parmelia encryptata
Crespoa crozalsiana
Hebeloma leucosarx
Elaphomyces aculeatus
Enterographa pitardii
Scutellospora calospora
Issatchenkia orientalis
Psathyrella romagnesii
Rickenella fibula
Pseudophaeomoniella oleae
Russula recondita
Cortinarius puellaris
Hodophilus foetens
Circinaria hispida
Phyllopsora parvifolia
Conocybe cylindracea
Cortinarius lucandii
Morchella dunalii
Conocybe dunensis
Flavoparmelia soredians
Arthrinium luzulae
Cryptovalsa ampelina
Lepraria isidiata
Gymnopilus fulgens
Coniophora olivacea
Pluteus nothopellitus
Terfezia leptoderma
Hebeloma erumpens
Neofabraea kienholzii
Leptogium hibernicum
Neodevriesia bulbillosa
Octosporopsis nicolai
Inocybe occulta
Rostania multipunctata
Cortinarius subtortus
Tricholoma bakamatsutake
Varicellaria hemisphaerica
Rhodotorula mucilaginosa
Conocybe parapilosella
Simocybe serrulata
Leucoagaricus paracupresseus
Otidea bufonia
Terfezia arenaria
Amanita prudens
Cortinarius subturibulosus
Tuber melosporum
Caloboletus calopus
Trichoderma christianii
Geopora cooperi
Laccaria bicolor
Lichenomphalia meridionalis
Diutina rugosa
Hodophilus variabilipes
Stemphylium botryosum
Cylindrium magnoliae
Mycena tenuicorticola
Lasiobolidium trachysporum
Ramaria subtilis
Thalloidima sedifolium
Pluteus stenotrichus
Cladonia subulata
Chaetothiersia eguttulata
Tuber puberulum
Coscinocladium gaditanum
Truncospora atlantica
Phlegmacium inusitatum
Volutellonectria consors
Hebeloma alboerumpens
